Genes,F:\massdata\20240930TPP\m\20240930_tpp_m_01.raw,F:\massdata\20240930TPP\m\20240930_tpp_m_02.raw,F:\massdata\20240930TPP\m\20240930_tpp_m_03.raw,F:\massdata\20240930TPP\m\20240930_tpp_m_04.raw,F:\massdata\20240930TPP\m\20240930_tpp_m_05.raw,F:\massdata\20240930TPP\m\20240930_tpp_m_06.raw,F:\massdata\20240930TPP\m\20240930_tpp_m_07.raw,F:\massdata\20240930TPP\m\20240930_tpp_m_08.raw,
ELMO3,3030000,3220000,1800000,1360000,565834,0,0,0
EPC1,589476,361345,353897,269145,101269,0,0,0
EPHB3,2680000,2390000,1450000,1200000,803372,0,0,0
ERCC1,575462,281696,231190,64733.5,64733.5,157063,0,0
ERCC6,323421,294894,367943,337810,200331,0,0,0
EXOC1,4380000,2740000,1240000,1270000,591190,0,0,0
EXOC6,53300000,47300000,668668,42300000,166681,0,0,0
EXT2,267339,248315,153413,120766,69508.3,0,0,0
EZH2,2480000,1920000,1220000,776556,255047,0,0,0
F2RL1,871027,895653,238035,497080,419348,0,0,0
F8A1,2030000,1550000,855193,623348,304485,0,0,0
FAM98A,1530000,1350000,836668,698827,225581,0,0,0
FASTKD5,1280000,1030000,512222,534167,164192,0,0,0
FBXL20,6890000,5620000,4030000,1820000,1180000,0,0,0
FBXO4,1760000,1420000,1530000,957418,569713,0,0,0
FCHSD1,2230000,995435,1610000,2480000,609156,0,0,0
FGD3,150928,151683,110748,112703,65053.2,0,0,0
FHIP1B,3030000,2770000,1710000,1350000,764362,0,0,0
FHIP2A,611981,546821,677010,382204,262222,0,0,0
FLG,962574,141415,141415,203057,550527,550527,550527,529341
FOSL1,557923,528196,528196,773472,651711,651711,651711,334256
FRK,5080000,4240000,3810000,2990000,251023,0,0,0
GALNT4,1730000,2010000,1130000,1180000,608562,0,0,0
GATB,1890000,1290000,678745,834449,520099,0,0,0
GBE1,322543,289539,184072,193896,75813.6,0,0,0
GBP1,5840000,4740000,4100000,2780000,1060000,0,0,0
GDPD1,1270000,1270000,1270000,1130000,1370000,736218,131817,0
GLRX2,3100000,1990000,1990000,1990000,1990000,3020000,2370000,4020000
GMNN,375167,375167,449799,449799,449799,519229,494415,1400000
GPAT3,2240000,1880000,903568,1100000,208072,0,0,0
GPN3,1120000,930299,640637,481372,203275,0,0,0
GPR89A;GPR89B,4110000,3660000,1970000,1510000,851353,0,0,0
GRAMD4,575607,454135,262572,160993,97162.8,0,0,0
GSDMD,2150000,2650000,1670000,1370000,831905,0,0,0
